00:24:6C:26:87:**,00:24:6C:26:89:**,00:24:6C:26:8B:**,00:24:6C:2D:17:**,00:24:6C:2D:1A:**,04:92:26:53:B7:**,08:36:C9:8E:F4:**,30:87:D9:31:54:**,30:87:D9:31:55:**,30:87:D9:31:59:**,30:87:D9:31:5B:**,30:87:D9:31:5C:**,30:87:D9:31:61:**,30:87:D9:31:72:**,30:87:D9:31:76:**,30:87:D9:31:77:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:31:7E:**,30:87:D9:31:7F:**,30:87:D9:31:81:**,30:87:D9:31:82:**,30:87:D9:31:89:**,30:87:D9:31:95:**,30:87:D9:31:97:**,30:87:D9:31:99:**,30:87:D9:31:9A:**,30:87:D9:31:F0:**,30:87:D9:31:FC:**,30:87:D9:32:06:**,30:87:D9:32:38:**,30:87:D9:71:54:**,30:87:D9:71:55:**,30:87:D9:71:58:**,30:87:D9:71:59:**,30:87:D9:71:5B:**,30:87:D9:71:5C:**,30:87:D9:71:61:**,30:87:D9:71:72:**,30:87:D9:71:76:**,30:87:D9:71:77:**,30:87:D9:71:7C:**,30:87:D9:71:7D:**,30:87:D9:71:7E:**,30:87:D9:71:7F:**,30:87:D9:71:81:**,30:87:D9:71:82:**,30:87:D9:71:89:**,30:87:D9:71:95:**,30:87:D9:71:97:**,30:87:D9:71:99:**,30:87:D9:71:9A:**,30:87:D9:71:F0:**,30:87:D9:71:FC:**,30:87:D9:72:06:**,30:87:D9:72:38:**,30:87:D9:B1:54:**,30:87:D9:B1:55:**,30:87:D9:B1:59:**,30:87:D9:B1:5B:**,30:87:D9:B1:5C:**,30:87:D9:B1:76:**,30:87:D9:B1:77:**,30:87:D9:B1:7C:**,30:87:D9:B1:7D:**,30:87:D9:B1:7E:**,30:87:D9:B1:7F:**,30:87:D9:B1:81:**,30:87:D9:B1:82:**,30:87:D9:B1:89:**,30:87:D9:B1:95:**,30:87:D9:B1:97:**,30:87:D9:B1:99:**,30:87:D9:B1:9A:**,30:87:D9:B1:F0:**,30:87:D9:B1:FC:**,30:87:D9:B2:06:**,30:87:D9:B2:38:**,30:87:D9:F1:54:**,30:87:D9:F1:55:**,30:87:D9:F1:59:**,30:87:D9:F1:5B:**,30:87:D9:F1:76:**,30:87:D9:F1:77:**,30:87:D9:F1:7C:**,30:87:D9:F1:7D:**,30:87:D9:F1:7E:**,30:87:D9:F1:7F:**,30:87:D9:F1:81:**,30:87:D9:F1:82:**,30:87:D9:F1:89:**,30:87:D9:F1:95:**,30:87:D9:F1:97:**,30:87:D9:F1:99:**,30:87:D9:F1:9A:**,30:87:D9:F1:F0:**,30:87:D9:F1:FC:**,30:87:D9:F2:06:**,30:87:D9:F2:38:**,34:97:F6:6B:EB:**,78:32:1B:CC:37:**,78:D2:94:7F:EB:**,A8:5E:45:1B:B8:**,B0:6E:BF:3B:A8:**,E4:F0:42:E0:FB:**,timestamp,x,z
-100,-100.0,-71.0,-100.0,-78,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100,-72.0,-80.0,-100,-100,-100,-100,-100,-78.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-55,-100.0,-100,-72.0,-79.0,-100,-100,-100,-79,-100,-78.0,-40,-100,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55,-100.0,-100.0,-72.0,-80.0,-100,-100,-100,-80,-100,-78.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100.0,-72.0,-79.0,-100,-100,-100,-80,-100,-76.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,1662467261,-0.7370301,18.2496986
-100,-100.0,-75.0,-100.0,-78,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48,-100.0,-100,-64.0,-80.0,-100,-100,-100,-78,-100,-80.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-49,-100.0,-100,-64.0,-79.0,-100,-100,-100,-78,-100,-76.0,-40,-100,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50,-100.0,-100.0,-61.0,-80.0,-100,-100,-100,-77,-100,-75.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-50,-100.0,-100.0,-66.0,-79.0,-100,-100,-100,-78,-100,-76.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,1662467262,-0.7608535,18.4257145
-79,-100.0,-75.0,-100.0,-59,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70,-100.0,-100,-100.0,-100.0,-100,-79,-76,-71,-100,-76.0,-100.0,-100.0,-100.0,-100.0,-60,-68.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-67,-100.0,-100,-100.0,-100.0,-100,-100,-77,-77,-100,-72.0,-45,-100,-100,-79.0,-59,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68,-100.0,-100.0,-100.0,-100.0,-100,-100,-77,-74,-100,-76.0,-100.0,-100.0,-100,-77.0,-61,-66.0,-100.0,-100.0,-100.0,-100.0,-69,-100.0,-100.0,-100.0,-100.0,-100,-100,-79,-75,-100,-76.0,-100.0,-100.0,-81,-100.0,-61,-67.0,-78,-100.0,-100.0,-100.0,-75.0,-100.0,1662467263,-0.7748582,18.5362568
-100,-100.0,-75.0,-100.0,-77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55,-100.0,-100,-64.0,-100.0,-100,-100,-100,-78,-100,-66.0,-100.0,-100.0,-100.0,-100.0,-78,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-54,-100.0,-100,-66.0,-100.0,-100,-81,-100,-79,-100,-75.0,-40,-100,-100,-100.0,-74,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100.0,-65.0,-100.0,-100,-100,-100,-79,-100,-66.0,-100.0,-100.0,-100,-100.0,-73,-100.0,-100.0,-100.0,-100.0,-100.0,-55,-100.0,-100.0,-63.0,-100.0,-100,-100,-100,-78,-100,-76.0,-100.0,-100.0,-100,-100.0,-76,-100.0,-100,-100.0,-100.0,-100.0,-80.0,-100.0,1662467264,-0.7732587,18.6819878
-76,-100.0,-70.0,-100.0,-70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66,-100.0,-100,-100.0,-100.0,-77,-80,-100,-78,-78,-70.0,-100.0,-100.0,-75.0,-78.0,-70,-78.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-67,-100.0,-100,-100.0,-100.0,-75,-77,-100,-74,-100,-73.0,-45,-100,-78,-100.0,-72,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65,-100.0,-100.0,-100.0,-100.0,-76,-76,-100,-77,-80,-72.0,-100.0,-100.0,-75,-100.0,-67,-79.0,-100.0,-100.0,-100.0,-100.0,-66,-100.0,-100.0,-100.0,-100.0,-77,-77,-100,-75,-100,-73.0,-100.0,-100.0,-74,-78.0,-71,-80.0,-100,-100.0,-100.0,-100.0,-79.0,-100.0,1662467265,-0.7652335,18.8422031
-79,-100.0,-74.0,-100.0,-65,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68,-100.0,-100,-100.0,-100.0,-100,-79,-76,-77,-100,-76.0,-100.0,-100.0,-100.0,-100.0,-62,-68.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-66,-100.0,-100,-100.0,-100.0,-100,-100,-77,-77,-100,-72.0,-45,-100,-100,-79.0,-62,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69,-100.0,-100.0,-100.0,-100.0,-100,-100,-77,-78,-100,-76.0,-100.0,-100.0,-100,-77.0,-60,-68.0,-100.0,-100.0,-100.0,-100.0,-67,-100.0,-100.0,-100.0,-100.0,-100,-100,-79,-76,-100,-76.0,-100.0,-100.0,-81,-100.0,-60,-67.0,-78,-100.0,-100.0,-100.0,-75.0,-100.0,1662467266,-0.746438,19.029623
-76,-100.0,-69.0,-100.0,-72,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63,-100.0,-100,-100.0,-100.0,-100,-80,-100,-78,-78,-70.0,-100.0,-100.0,-75.0,-100.0,-65,-74.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-63,-100.0,-100,-100.0,-100.0,-100,-78,-100,-74,-100,-70.0,-45,-100,-78,-100.0,-65,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63,-100.0,-100.0,-100.0,-100.0,-100,-77,-100,-77,-80,-70.0,-100.0,-100.0,-75,-100.0,-66,-73.0,-100.0,-100.0,-100.0,-100.0,-64,-100.0,-100.0,-100.0,-100.0,-100,-73,-100,-75,-100,-71.0,-100.0,-100.0,-74,-100.0,-65,-73.0,-100,-100.0,-100.0,-100.0,-80.0,-100.0,1662467267,-0.7318382,19.2424183
-79,-100.0,-77.0,-100.0,-62,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66,-100.0,-100,-100.0,-100.0,-100,-79,-76,-71,-100,-76.0,-100.0,-100.0,-100.0,-100.0,-63,-71.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-68,-100.0,-100,-100.0,-100.0,-100,-100,-77,-77,-100,-72.0,-45,-100,-100,-79.0,-64,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67,-100.0,-100.0,-100.0,-100.0,-100,-100,-78,-74,-100,-74.0,-100.0,-100.0,-100,-77.0,-62,-75.0,-100.0,-100.0,-100.0,-100.0,-67,-100.0,-100.0,-100.0,-100.0,-100,-100,-79,-75,-100,-73.0,-100.0,-100.0,-81,-100.0,-62,-73.0,-78,-100.0,-100.0,-100.0,-77.0,-100.0,1662467268,-0.7353716,19.4777393
-100,-100.0,-75.0,-100.0,-77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53,-100.0,-100,-68.0,-100.0,-100,-100,-100,-78,-100,-66.0,-100.0,-100.0,-100.0,-100.0,-78,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-53,-100.0,-100,-69.0,-100.0,-100,-81,-100,-79,-100,-75.0,-40,-100,-100,-100.0,-74,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53,-100.0,-100.0,-70.0,-100.0,-100,-100,-100,-79,-100,-66.0,-100.0,-100.0,-100,-100.0,-73,-100.0,-100.0,-100.0,-100.0,-100.0,-53,-100.0,-100.0,-68.0,-100.0,-100,-100,-100,-78,-100,-76.0,-100.0,-100.0,-100,-100.0,-76,-100.0,-100,-100.0,-100.0,-100.0,-80.0,-100.0,1662467269,-0.673665,19.7073517
-100,-100.0,-73.0,-100.0,-74,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59,-100.0,-100,-100.0,-100.0,-79,-77,-100,-80,-75,-71.0,-100.0,-100.0,-100.0,-74.0,-79,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-59,-100.0,-100,-100.0,-100.0,-78,-76,-100,-79,-76,-72.0,-45,-100,-100,-77.0,-78,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58,-100.0,-100.0,-100.0,-100.0,-72,-76,-100,-100,-77,-71.0,-100.0,-100.0,-79,-75.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-59,-100.0,-100.0,-100.0,-100.0,-80,-77,-100,-100,-75,-71.0,-100.0,-100.0,-100,-73.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-76.0,-100.0,1662467270,-0.598835,19.8857346
-76,-100.0,-69.0,-100.0,-70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56,-100.0,-100,-100.0,-100.0,-100,-80,-100,-78,-78,-66.0,-100.0,-100.0,-75.0,-78.0,-70,-78.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-57,-100.0,-100,-100.0,-100.0,-100,-77,-100,-74,-100,-66.0,-45,-100,-78,-100.0,-69,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57,-100.0,-100.0,-100.0,-100.0,-100,-76,-100,-77,-80,-72.0,-100.0,-100.0,-75,-100.0,-69,-76.0,-100.0,-100.0,-100.0,-100.0,-57,-100.0,-100.0,-100.0,-100.0,-100,-77,-100,-75,-100,-71.0,-100.0,-100.0,-74,-78.0,-70,-73.0,-100,-100.0,-100.0,-100.0,-80.0,-100.0,1662467271,-0.3980522,20.0687752
-100,-100.0,-72.0,-100.0,-77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55,-100.0,-100,-63.0,-79.0,-100,-100,-100,-78,-100,-78.0,-100.0,-100.0,-100.0,-100.0,-75,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-55,-100.0,-100,-69.0,-79.0,-100,-100,-100,-80,-100,-78.0,-40,-100,-100,-100.0,-70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100.0,-69.0,-80.0,-100,-100,-100,-79,-100,-78.0,-100.0,-100.0,-100,-100.0,-75,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100.0,-70.0,-78.0,-100,-100,-100,-77,-100,-78.0,-100.0,-100.0,-100,-100.0,-76,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,1662467272,-0.2037315,20.2048168
-78,-100.0,-69.0,-100.0,-75,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59,-100.0,-100,-100.0,-100.0,-71,-100,-100,-100,-100,-65.0,-100.0,-100.0,-100.0,-100.0,-71,-81.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-58,-100.0,-100,-100.0,-100.0,-74,-100,-100,-100,-100,-65.0,-45,-100,-100,-100.0,-73,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59,-100.0,-100.0,-100.0,-100.0,-76,-100,-100,-79,-100,-66.0,-100.0,-100.0,-100,-100.0,-73,-100.0,-100.0,-100.0,-100.0,-100.0,-59,-100.0,-100.0,-100.0,-100.0,-77,-100,-100,-81,-100,-66.0,-100.0,-100.0,-100,-100.0,-71,-80.0,-100,-100.0,-100.0,-100.0,-78.0,-100.0,1662467273,0.0841808,20.2764091
