timestamp,30:87:D9:B1:7E:**,30:87:D9:F1:7E:**,30:87:D9:F1:76:**,30:87:D9:F2:38:**,30:87:D9:B1:82:**,30:87:D9:31:97:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:81:**,30:87:D9:31:7C:**,30:87:D9:B1:FC:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:81:**,30:87:D9:B1:89:**,30:87:D9:72:38:**,30:87:D9:71:61:**,30:87:D9:71:5C:**,30:87:D9:B2:06:**,30:87:D9:71:99:**,00:24:6C:26:87:**,30:87:D9:72:06:**,30:87:D9:31:81:**,30:87:D9:F1:F0:**,30:87:D9:F2:06:**,30:87:D9:31:F0:**,30:87:D9:B1:7D:**,30:87:D9:31:95:**,30:87:D9:71:7D:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:71:F0:**,30:87:D9:B1:81:**,30:87:D9:B1:76:**,00:24:6C:26:8B:**,30:87:D9:F1:7F:**,34:97:F6:6B:EB:**,30:87:D9:F1:7D:**,30:87:D9:B1:97:**,30:87:D9:71:95:**,30:87:D9:B1:F0:**,00:24:6C:2D:1A:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:B1:95:**,30:87:D9:71:7E:**,30:87:D9:71:58:**,30:87:D9:F1:95:**,30:87:D9:71:72:**,78:32:1B:CC:37:**,30:87:D9:71:7F:**,30:87:D9:31:89:**,E4:F0:42:E0:FB:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:97:**,30:87:D9:31:76:**,30:87:D9:71:9A:**,30:87:D9:F1:82:**,B0:6E:BF:3B:A8:**,30:87:D9:71:76:**,30:87:D9:31:7D:**,30:87:D9:31:82:**,30:87:D9:31:FC:**,30:87:D9:32:38:**,30:87:D9:F1:FC:**,30:87:D9:71:82:**
1662467222.165216,-100,-100,-57,-100,-100,-74,-79,-100,-100,-100,-73,-72,-100,-100,-79,-100,-100,-100,-72,-45,-100,-78,-81,-100,-72,-100,-100,-78,-100,-100,-73,-100,-74,-56,-73,-78,-100,-100,-73,-76,-79,-70,-74,-100,-76,-100,-100,-79,-100,-100,-79,-80,-100,-79,-71,-72,-57,-100,-100,-75,-57,-100,-100,-73,-100,-74,-100
1662467223.165274,-100,-100,-48,-100,-100,-74,-75,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-75,-40,-100,-70,-100,-100,-76,-100,-69,-100,-68,-77,-100,-100,-100,-48,-72,-100,-100,-69,-74,-100,-100,-77,-80,-76,-100,-100,-100,-100,-100,-100,-100,-78,-100,-77,-77,-76,-48,-100,-100,-100,-49,-59,-100,-100,-100,-100,-100
1662467224.165107,-100,-100,-55,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-73,-40,-100,-74,-100,-100,-76,-100,-65,-100,-64,-78,-100,-100,-100,-53,-74,-100,-100,-64,-100,-100,-100,-77,-80,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-100,-100,-55,-100,-100,-80,-54,-64,-100,-100,-100,-100,-100
1662467225.165405,-100,-100,-77,-72,-100,-77,-65,-100,-100,-100,-100,-100,-66,-100,-68,-65,-100,-100,-64,-45,-100,-64,-100,-100,-63,-100,-100,-100,-100,-78,-100,-100,-100,-76,-79,-100,-78,-100,-77,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-77,-69,-77,-100,-100,-77,-75,-100,-72,-100,-65,-100,-100
1662467226.165510,-100,-100,-66,-66,-70,-63,-67,-100,-74,-100,-100,-100,-72,-73,-75,-71,-100,-100,-69,-45,-100,-67,-72,-100,-67,-100,-100,-100,-100,-77,-100,-100,-73,-67,-67,-100,-100,-100,-62,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-78,-78,-63,-68,-100,-73,-74,-68,-100,-75,-100,-71,-100,-71
1662467227.165432,-100,-100,-59,-80,-100,-65,-72,-100,-100,-100,-100,-76,-79,-100,-79,-100,-100,-100,-72,-45,-78,-72,-100,-100,-71,-100,-100,-100,-100,-100,-71,-100,-100,-60,-71,-76,-100,-100,-66,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-66,-65,-59,-100,-100,-79,-60,-100,-100,-100,-81,-100,-100
1662467228.165146,-100,-100,-55,-100,-100,-74,-75,-100,-100,-100,-74,-72,-100,-100,-79,-100,-100,-100,-72,-45,-100,-71,-81,-100,-72,-100,-100,-75,-100,-81,-73,-100,-74,-55,-73,-76,-100,-100,-66,-74,-79,-70,-74,-100,-75,-100,-100,-73,-100,-100,-76,-80,-100,-79,-67,-65,-55,-100,-100,-75,-55,-100,-100,-69,-100,-74,-100
1662467229.164997,-100,-100,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-63,-100,-63,-76,-100,-100,-100,-46,-78,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-65,-100,-100,-47,-100,-100,-100,-47,-65,-100,-100,-100,-100,-100
1662467230.165820,-100,-100,-51,-100,-100,-73,-79,-100,-80,-100,-73,-72,-100,-100,-79,-100,-100,-100,-72,-45,-100,-78,-81,-100,-72,-100,-100,-76,-100,-100,-73,-100,-74,-52,-74,-78,-100,-100,-72,-76,-79,-70,-74,-100,-76,-100,-100,-79,-100,-100,-79,-80,-100,-79,-72,-73,-52,-100,-100,-75,-52,-100,-100,-77,-100,-74,-100
1662467231.165215,-100,-100,-63,-80,-100,-67,-66,-100,-77,-100,-100,-76,-79,-77,-77,-74,-100,-100,-72,-45,-76,-71,-80,-74,-72,-75,-100,-78,-100,-75,-78,-78,-76,-63,-70,-77,-100,-100,-66,-100,-75,-70,-100,-100,-80,-100,-100,-100,-100,-100,-78,-78,-100,-74,-65,-65,-63,-100,-100,-80,-64,-100,-100,-78,-78,-78,-100
