timestamp,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,30:87:D9:B1:7E:**,30:87:D9:F1:F0:**,30:87:D9:31:77:**,30:87:D9:B1:81:**,30:87:D9:31:61:**,00:24:6C:26:8B:**,30:87:D9:31:95:**,30:87:D9:F1:7D:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:FC:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,30:87:D9:B1:7C:**,04:92:26:53:B7:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7D:**,00:24:6C:26:87:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:FC:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,30:87:D9:F1:82:**,30:87:D9:71:7D:**,00:24:6C:2D:1A:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,30:87:D9:31:72:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:31:9A:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:F1:7F:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:B1:95:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**,B0:6E:BF:3B:A8:**,30:87:D9:32:38:**
1662467700.269471,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-68,-100,-100,-68,-66,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-78,-78,-100,-100,-64,-100,-100,-100,-100,-76,-78,-68,-100,-100,-57,-100,-100,-79,-100,-57,-100,-100,-100,-100,-45,-77,-100,-100,-78,-100,-100,-57,-100,-100,-100,-63,-100,-100,-100,-100,-100
1662467701.269645,-55,-100,-100,-81,-100,-100,-80,-100,-80,-100,-100,-78,-64,-100,-80,-78,-100,-100,-100,-100,-100,-74,-100,-100,-73,-100,-100,-74,-80,-100,-77,-70,-100,-100,-100,-100,-100,-74,-100,-100,-100,-76,-77,-75,-80,-100,-63,-100,-100,-100,-100,-76,-77,-73,-100,-100,-54,-100,-100,-73,-100,-53,-79,-79,-100,-100,-45,-69,-100,-100,-78,-100,-100,-54,-100,-100,-100,-62,-75,-100,-100,-100,-100
1662467702.269605,-48,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-63,-100,-100,-100,-80,-100,-100,-79,-61,-100,-100,-100,-80,-100,-78,-100,-100,-100,-100,-73,-100,-100,-100,-62,-86,-100,-61,-100,-67,-75,-80,-100,-81,-57,-100,-61,-100,-52,-47,-100,-100,-100,-100,-44,-100,-100,-100,-73,-100,-100,-47,-100,-100,-52,-62,-100,-71,-100,-100,-100
1662467703.269789,-64,-68,-100,-100,-100,-80,-100,-100,-77,-100,-64,-100,-78,-100,-100,-79,-77,-100,-71,-70,-100,-100,-100,-100,-67,-100,-100,-62,-100,-100,-62,-75,-100,-100,-100,-100,-68,-63,-100,-100,-68,-100,-74,-65,-77,-72,-78,-100,-100,-100,-100,-75,-76,-61,-100,-100,-63,-100,-100,-65,-100,-64,-100,-77,-68,-100,-45,-66,-78,-100,-74,-100,-100,-64,-100,-100,-100,-77,-100,-100,-100,-76,-66
1662467704.269414,-48,-100,-100,-100,-47,-100,-100,-100,-100,-100,-74,-100,-61,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-63,-100,-100,-100,-80,-100,-47,-79,-61,-100,-85,-100,-80,-100,-78,-100,-100,-100,-100,-68,-100,-100,-100,-67,-86,-100,-61,-100,-72,-71,-77,-100,-81,-56,-100,-61,-100,-52,-48,-100,-100,-100,-100,-55,-100,-100,-100,-74,-100,-48,-50,-100,-100,-52,-67,-100,-71,-100,-100,-100
1662467705.269373,-64,-100,-100,-78,-100,-100,-77,-100,-79,-100,-69,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-62,-100,-100,-64,-75,-100,-100,-100,-100,-72,-62,-70,-100,-67,-100,-74,-66,-69,-100,-78,-100,-100,-100,-100,-76,-73,-62,-100,-100,-66,-100,-100,-65,-100,-64,-100,-80,-71,-100,-45,-66,-77,-100,-76,-100,-100,-64,-100,-78,-100,-77,-100,-100,-100,-77,-73
1662467706.269330,-53,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-76,-100,-100,-75,-70,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-77,-78,-100,-100,-68,-100,-100,-100,-100,-79,-77,-73,-100,-100,-55,-81,-100,-76,-100,-53,-100,-79,-100,-100,-45,-76,-100,-100,-78,-100,-100,-54,-100,-100,-100,-70,-100,-100,-100,-100,-100
1662467707.269955,-56,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-75,-80,-100,-72,-65,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-77,-78,-80,-100,-65,-100,-100,-100,-100,-79,-77,-75,-100,-100,-55,-100,-100,-75,-100,-56,-100,-79,-100,-100,-45,-75,-100,-100,-78,-100,-100,-55,-100,-100,-100,-65,-100,-100,-100,-100,-100
1662467708.269746,-60,-100,-100,-79,-100,-100,-77,-100,-78,-100,-69,-79,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-73,-100,-100,-70,-75,-100,-100,-100,-100,-76,-65,-78,-100,-77,-100,-76,-70,-78,-100,-75,-100,-100,-100,-100,-77,-74,-73,-100,-100,-60,-100,-100,-68,-100,-61,-100,-78,-76,-100,-45,-70,-77,-100,-76,-100,-100,-60,-100,-77,-100,-74,-100,-100,-100,-78,-77
1662467709.269422,-77,-79,-100,-79,-100,-100,-78,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-62,-100,-100,-68,-100,-100,-67,-100,-78,-100,-100,-100,-66,-73,-82,-100,-74,-100,-75,-62,-100,-78,-100,-100,-100,-100,-100,-78,-75,-67,-100,-100,-76,-100,-100,-62,-100,-70,-100,-100,-74,-100,-40,-63,-81,-100,-76,-100,-100,-76,-81,-79,-100,-100,-100,-100,-100,-81,-74
