timestamp,30:87:D9:71:54:**,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,00:24:6C:26:87:**,30:87:D9:F1:F0:**,30:87:D9:B1:55:**,30:87:D9:B1:81:**,30:87:D9:B1:77:**,30:87:D9:F1:7F:**,30:87:D9:31:7E:**,30:87:D9:F1:55:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:5C:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,08:36:C9:8E:F4:**,30:87:D9:B1:7C:**,30:87:D9:F1:59:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7E:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:F1:82:**,30:87:D9:31:54:**,00:24:6C:2D:17:**,30:87:D9:F1:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,00:24:6C:2D:1A:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:31:95:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:B1:95:**,30:87:D9:B1:59:**,30:87:D9:71:7F:**,30:87:D9:31:76:**,30:87:D9:32:38:**
1662468569.175905,-100,-61,-70,-100,-100,-100,-76,-100,-100,-74,-100,-100,-100,-100,-80,-100,-100,-66,-69,-100,-100,-100,-100,-62,-100,-100,-100,-72,-100,-100,-66,-79,-100,-100,-70,-100,-100,-100,-100,-70,-73,-75,-100,-72,-70,-63,-81,-69,-100,-100,-71,-72,-72,-100,-100,-61,-63,-100,-100,-80,-71,-100,-63,-100,-100,-73,-100,-100,-62,-78,-100,-100,-100,-100,-48,-61,-71
1662468570.175297,-72,-59,-77,-75,-77,-64,-100,-77,-76,-75,-100,-76,-80,-79,-78,-100,-100,-75,-77,-100,-68,-73,-66,-69,-87,-49,-100,-66,-100,-100,-65,-77,-72,-82,-78,-73,-100,-100,-80,-76,-66,-77,-77,-78,-100,-71,-77,-70,-60,-71,-100,-100,-64,-100,-71,-64,-71,-48,-100,-78,-75,-41,-72,-77,-100,-100,-75,-100,-60,-100,-100,-48,-100,-100,-69,-58,-78
1662468571.175292,-68,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-77,-100,-100,-76,-100,-100,-100,-100,-67,-100,-100,-100,-100,-78,-100,-100,-100,-77,-100,-100,-100,-100,-68,-75,-76,-79,-100,-100,-46,-100,-100,-100,-100,-100,-35,-100,-100,-100,-76,-100,-100,-46,-100,-100,-100,-100,-100,-100,-46,-100
1662468572.175254,-72,-59,-100,-100,-75,-100,-79,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-74,-77,-100,-75,-100,-100,-100,-100,-72,-80,-100,-100,-100,-75,-100,-100,-100,-100,-77,-100,-100,-100,-72,-100,-100,-75,-100,-100,-59,-75,-100,-76,-76,-100,-41,-76,-78,-76,-100,-100,-100,-59,-100,-77,-100,-77,-80,-100,-59,-100
1662468573.175354,-74,-57,-77,-75,-77,-64,-100,-77,-76,-78,-100,-74,-75,-79,-78,-100,-81,-75,-77,-100,-68,-66,-66,-68,-87,-49,-100,-65,-100,-100,-65,-76,-72,-82,-78,-73,-100,-100,-80,-68,-64,-77,-76,-76,-100,-70,-72,-71,-60,-65,-100,-100,-65,-100,-71,-63,-68,-48,-100,-77,-75,-41,-71,-77,-100,-100,-100,-100,-57,-100,-100,-48,-100,-100,-62,-56,-75
1662468574.175112,-74,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-68,-100,-75,-100,-100,-100,-75,-100,-100,-77,-78,-100,-100,-100,-77,-100,-100,-100,-100,-76,-100,-100,-100,-69,-100,-100,-100,-100,-75,-76,-78,-74,-100,-100,-50,-76,-100,-100,-100,-100,-35,-100,-100,-100,-77,-100,-100,-51,-100,-100,-100,-100,-100,-100,-51,-100
1662468575.175110,-100,-64,-70,-100,-100,-100,-76,-100,-100,-74,-100,-100,-100,-100,-80,-100,-100,-66,-69,-100,-100,-100,-100,-63,-100,-100,-100,-72,-100,-100,-66,-79,-100,-100,-70,-100,-100,-100,-100,-70,-66,-75,-100,-72,-70,-62,-81,-68,-100,-100,-71,-72,-66,-100,-100,-62,-62,-100,-100,-80,-71,-100,-63,-100,-100,-73,-100,-100,-64,-78,-100,-100,-100,-100,-48,-63,-71
1662468576.175164,-74,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-73,-100,-100,-100,-100,-76,-100,-100,-100,-74,-100,-100,-100,-100,-100,-56,-74,-100,-100,-100,-100,-35,-77,-100,-100,-100,-100,-100,-56,-100,-100,-100,-100,-100,-100,-56,-100
1662468577.175130,-100,-65,-70,-100,-77,-100,-100,-74,-100,-77,-100,-100,-77,-100,-100,-100,-100,-66,-69,-100,-100,-100,-100,-68,-100,-100,-100,-58,-79,-100,-57,-100,-100,-100,-70,-100,-100,-100,-100,-73,-56,-77,-100,-73,-70,-69,-78,-75,-100,-100,-77,-72,-58,-100,-100,-66,-68,-100,-78,-76,-73,-100,-69,-77,-78,-75,-100,-100,-65,-100,-75,-100,-79,-100,-48,-66,-72
1662468578.175179,-100,-77,-74,-100,-80,-100,-76,-100,-100,-76,-100,-100,-79,-100,-79,-78,-100,-77,-77,-100,-100,-100,-100,-58,-100,-100,-100,-73,-100,-100,-72,-100,-100,-100,-75,-100,-100,-100,-100,-71,-68,-78,-100,-70,-74,-60,-78,-65,-100,-100,-76,-76,-69,-100,-100,-70,-59,-100,-100,-77,-71,-100,-58,-81,-100,-75,-100,-100,-71,-78,-100,-100,-100,-100,-48,-75,-73
