timestamp,30:87:D9:71:54:**,30:87:D9:F1:76:**,1C:3A:60:02:B2:**,30:87:D9:B1:82:**,30:87:D9:B1:61:**,30:87:D9:B1:9B:**,30:87:D9:71:9B:**,00:24:6C:2D:17:**,08:36:C9:8E:F4:**,30:87:D9:71:61:**,30:87:D9:F1:61:**,30:87:D9:B1:51:**,00:24:6C:26:89:**,30:87:D9:B1:7E:**,30:87:D9:71:51:**,30:87:D9:F1:5C:**,30:87:D9:B1:55:**,30:87:D9:31:5A:**,30:87:D9:31:61:**,E8:48:B8:ED:47:**,00:24:6C:26:8B:**,30:87:D9:F1:7F:**,30:87:D9:F1:7D:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:F1:55:**,E4:F0:42:E0:FB:**,0C:51:01:E3:94:**,EC:AD:E0:AE:D5:**,86:2A:FD:F0:89:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:F1:7C:**,30:87:D9:71:82:**,30:87:D9:B1:53:**,30:87:D9:31:55:**,30:87:D9:B1:5C:**,30:87:D9:F1:53:**,30:87:D9:71:D7:**,30:87:D9:B1:FC:**,30:87:D9:31:9A:**,30:87:D9:31:D7:**,30:87:D9:71:5C:**,30:87:D9:31:96:**,30:87:D9:71:96:**,1C:3B:F3:DC:E3:**,30:87:D9:F2:06:**,30:87:D9:71:52:**,30:87:D9:B1:7C:**,04:92:26:53:B7:**,30:87:D9:71:5E:**,30:87:D9:F1:59:**,C0:A0:BB:CF:65:**,30:87:D9:B1:97:**,30:87:D9:F1:5E:**,30:87:D9:F1:95:**,30:87:D9:73:01:**,30:87:D9:B1:58:**,30:87:D9:F1:5A:**,30:87:D9:F1:99:**,34:0A:33:03:77:**,30:87:D9:B1:6B:**,30:87:D9:31:6B:**,00:24:6C:26:87:**,30:87:D9:B1:72:**,30:87:D9:F1:97:**,30:87:D9:71:58:**,30:87:D9:71:77:**,56:13:79:27:1E:**,30:87:D9:F1:5B:**,D6:6A:6A:47:44:**,30:87:D9:31:54:**,FA:DA:0C:48:FB:**,30:87:D9:31:53:**,30:87:D9:F1:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:F2:1E:**,30:87:D9:B1:5B:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:FC:**,30:87:D9:31:58:**,30:87:D9:B1:54:**,30:87:D9:B1:89:**,30:87:D9:F1:58:**,30:87:D9:B1:52:**,30:87:D9:B2:06:**,30:87:D9:32:1E:**,30:87:D9:F1:82:**,30:87:D9:B3:01:**,30:87:D9:71:7D:**,30:87:D9:72:1E:**,30:87:D9:31:52:**,30:87:D9:F1:52:**,00:24:6C:2D:1A:**,30:87:D9:31:5B:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:99:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:B1:5E:**,30:87:D9:F3:01:**,30:87:D9:F1:6B:**,30:87:D9:71:9A:**,30:87:D9:71:53:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,E8:37:7A:A5:3A:**,30:87:D9:31:72:**,30:87:D9:B1:77:**,30:87:D9:71:5A:**,C4:E9:0A:1D:37:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:B1:63:**,30:87:D9:71:95:**,78:32:1B:CC:37:**,30:87:D9:72:38:**,30:87:D9:F1:72:**,1C:3B:F3:AB:99:**,30:87:D9:71:99:**,30:87:D9:31:77:**,30:87:D9:72:06:**,30:87:D9:31:51:**,30:87:D9:31:9B:**,30:87:D9:31:95:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,30:87:D9:33:01:**,30:87:D9:31:97:**,34:97:F6:6B:EB:**,38:D5:47:1E:6C:**,30:87:D9:71:7E:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:31:5C:**,30:87:D9:B1:95:**,30:87:D9:71:6B:**,30:87:D9:B1:9A:**,30:87:D9:31:5E:**,30:87:D9:B1:59:**,30:87:D9:B2:1E:**,30:87:D9:71:5B:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**,30:87:D9:B1:5A:**,30:87:D9:B1:7D:**,30:87:D9:32:38:**
1665322012.178565,-100,-100,-100,-76,-100,-100,-100,-69,-73,-72,-69,-100,-100,-69,-100,-100,-79,-72,-74,-100,-100,-43,-100,-76,-76,-79,-100,-100,-79,-100,-77,-77,-65,-100,-70,-100,-78,-100,-100,-100,-74,-37,-100,-100,-100,-82,-100,-100,-100,-100,-100,-81,-77,-100,-100,-79,-100,-76,-100,-72,-65,-100,-100,-100,-100,-79,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-78,-63,-100,-80,-42,-63,-75,-100,-100,-70,-74,-100,-100,-100,-67,-78,-100,-100,-100,-100,-100,-75,-77,-78,-100,-65,-71,-70,-100,-81,-80,-100,-36,-100,-100,-79,-100,-81,-100,-73,-100,-100,-100,-100,-100,-100,-100,-63,-79,-100,-63,-100,-100,-100,-100,-100,-71,-43,-66,-80,-79,-100,-70,-100,-73,-100,-100,-100,-100,-100,-36,-78,-76,-100,-78,-42,-36,-72,-100,-64
1665322029.178516,-100,-100,-100,-45,-69,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-80,-100,-100,-50,-100,-100,-100,-100,-75,-76,-100,-62,-55,-100,-77,-100,-47,-55,-38,-59,-75,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-71,-52,-55,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-78,-100,-79,-81,-100,-100,-65,-100,-100,-100,-100,-100,-100,-68,-56,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-52,-77,-100,-40,-100,-100,-100,-52,-53,-100,-100,-100,-100,-100,-73,-63,-62,-80,-100,-100,-80,-100,-56,-100,-100,-100,-100,-100,-100,-100,-78,-55,-100,-75,-100,-63,-100,-100,-63,-76,-100,-76,-100,-100,-100,-63,-100,-77,-100,-100,-65,-100,-75,-77,-55,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1665322030.178398,-76,-64,-100,-79,-44,-100,-100,-100,-100,-42,-43,-100,-100,-69,-100,-60,-79,-100,-43,-100,-72,-77,-100,-100,-71,-67,-60,-100,-100,-100,-72,-80,-100,-100,-82,-100,-69,-60,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-74,-100,-46,-100,-100,-100,-100,-63,-100,-71,-100,-100,-100,-100,-72,-100,-100,-100,-68,-100,-72,-100,-79,-100,-100,-75,-68,-76,-75,-100,-100,-71,-82,-100,-100,-69,-100,-100,-100,-100,-100,-65,-70,-61,-74,-75,-100,-100,-100,-100,-77,-100,-62,-100,-100,-72,-100,-100,-100,-100,-100,-64,-100,-100,-80,-100,-67,-100,-61,-100,-100,-100,-100,-100,-74,-78,-62,-66,-100,-100,-100,-100,-72,-100,-100,-60,-100,-100,-80,-100,-81,-72,-100,-79,-81,-100,-100,-100
1665322031.178808,-100,-78,-100,-100,-67,-100,-100,-80,-100,-66,-67,-100,-100,-56,-100,-80,-65,-78,-67,-81,-100,-78,-100,-70,-57,-59,-73,-100,-74,-74,-58,-100,-100,-79,-100,-100,-61,-69,-100,-100,-100,-80,-100,-70,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-77,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-43,-100,-100,-100,-100,-100,-73,-76,-100,-77,-74,-100,-100,-100,-79,-100,-100,-80,-78,-100,-100,-82,-100,-100,-100,-41,-100,-100,-100,-100,-100,-100,-78,-41,-77,-100,-100,-100,-100,-56,-78,-100,-68,-100,-74,-77,-100,-80,-100,-100,-100,-81,-79,-100,-80
1665322032.178536,-100,-100,-100,-76,-79,-100,-100,-71,-100,-72,-69,-100,-100,-100,-100,-100,-79,-72,-79,-100,-100,-29,-100,-76,-75,-79,-100,-100,-79,-100,-74,-77,-75,-100,-74,-100,-78,-100,-100,-100,-79,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-77,-100,-100,-79,-100,-76,-78,-72,-68,-100,-100,-100,-100,-75,-100,-78,-100,-100,-76,-100,-100,-100,-100,-100,-78,-58,-100,-78,-29,-58,-75,-100,-100,-72,-79,-100,-100,-100,-76,-78,-100,-100,-100,-100,-100,-78,-77,-75,-100,-67,-72,-69,-100,-81,-100,-100,-50,-100,-100,-79,-100,-72,-100,-77,-100,-100,-100,-100,-100,-100,-100,-58,-75,-100,-68,-100,-100,-100,-100,-100,-69,-28,-68,-80,-79,-100,-74,-100,-73,-100,-100,-100,-100,-100,-50,-78,-76,-100,-79,-29,-50,-72,-100,-59
1665322033.178857,-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-69,-100,-64,-100,-100,-100,-66,-100,-66,-64,-100,-78,-100,-53,-76,-63,-81,-81,-100,-79,-100,-100,-60,-100,-100,-100,-100,-100,-100,-64,-76,-100,-58,-100,-74,-100,-57,-100,-78,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-66,-68,-100,-100,-65,-67,-100,-100,-100,-39,-100,-63,-100,-100,-62,-100,-100,-100,-58,-62,-100,-100,-100,-100,-100,-75,-39,-39,-100,-50,-100,-100,-57,-81,-100,-100,-100,-100,-100,-74,-100,-100,-81,-100,-100,-100,-70,-64,-100,-79,-75,-100,-100,-100,-100,-100,-40,-65,-68,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-55,-51,-100,-100,-100,-66,-59,-76,-100,-67
1665322034.178525,-100,-78,-100,-100,-73,-100,-100,-100,-52,-74,-73,-100,-100,-66,-81,-77,-54,-78,-71,-100,-100,-100,-100,-100,-67,-48,-73,-100,-70,-58,-68,-100,-100,-71,-79,-100,-48,-69,-100,-100,-100,-73,-100,-70,-100,-100,-100,-100,-100,-71,-100,-100,-81,-100,-100,-100,-100,-100,-100,-80,-74,-100,-66,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-79,-100,-100,-76,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-37,-100,-100,-100,-82,-100,-66,-74,-100,-79,-100,-100,-100,-100,-81,-100,-100,-70,-81,-100,-100,-100,-100,-100,-76,-37,-100,-100,-81,-100,-100,-100,-77,-37,-76,-100,-100,-100,-100,-67,-77,-100,-68,-100,-66,-76,-100,-100,-100,-100,-100,-80,-80,-100,-80
1665322035.178438,-100,-100,-100,-32,-100,-69,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-65,-100,-100,-100,-100,-100,-77,-100,-53,-68,-100,-100,-100,-31,-56,-36,-61,-75,-100,-61,-100,-100,-68,-100,-100,-100,-100,-100,-71,-54,-56,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-78,-100,-79,-81,-100,-100,-65,-100,-100,-100,-100,-100,-100,-60,-62,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,-54,-77,-100,-35,-100,-100,-100,-55,-54,-100,-78,-100,-100,-100,-100,-57,-57,-80,-100,-100,-80,-71,-61,-100,-100,-100,-100,-100,-100,-100,-78,-57,-100,-100,-100,-76,-100,-100,-68,-76,-100,-76,-100,-78,-100,-57,-100,-77,-100,-100,-70,-100,-100,-100,-57,-100,-100,-100,-80,-71,-78,-100,-100,-100,-100,-67,-100,-100,-100
1665322036.178880,-100,-100,-100,-77,-74,-100,-100,-75,-100,-71,-75,-100,-100,-76,-100,-100,-80,-67,-80,-100,-100,-33,-100,-74,-73,-77,-100,-100,-100,-100,-75,-78,-77,-100,-75,-100,-80,-100,-100,-100,-77,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-100,-100,-78,-100,-100,-76,-70,-68,-100,-100,-100,-100,-68,-100,-75,-100,-100,-78,-100,-100,-100,-100,-100,-78,-60,-100,-78,-33,-60,-76,-76,-100,-72,-72,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-78,-62,-68,-100,-76,-74,-68,-100,-81,-100,-100,-57,-100,-74,-76,-100,-67,-100,-70,-100,-100,-100,-100,-100,-100,-100,-60,-76,-100,-75,-100,-100,-100,-100,-100,-70,-32,-68,-81,-100,-100,-75,-100,-75,-100,-100,-100,-100,-100,-58,-79,-72,-100,-78,-31,-56,-64,-100,-60
1665322037.179379,-100,-100,-100,-62,-100,-100,-100,-80,-100,-81,-100,-100,-100,-77,-100,-100,-78,-65,-100,-80,-100,-67,-100,-100,-100,-79,-100,-73,-72,-100,-76,-100,-62,-100,-66,-81,-68,-100,-79,-100,-100,-45,-100,-100,-100,-100,-100,-100,-79,-100,-100,-58,-100,-63,-100,-58,-100,-76,-100,-66,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-70,-63,-100,-100,-64,-65,-100,-100,-100,-56,-100,-76,-100,-100,-66,-100,-100,-100,-77,-74,-100,-77,-100,-100,-100,-70,-57,-56,-100,-58,-78,-100,-44,-81,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-82,-66,-100,-79,-72,-100,-100,-100,-100,-100,-55,-64,-68,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-45,-58,-100,-100,-100,-66,-44,-65,-100,-65
