timestamp,x,y,3087D97197A8,3087D9316B48,3087D9315A88,3087D9B189C8,3087D9B17F28,3087D9315E88,3087D9B15C08,3087D9318248,3087D9720648,3087D97195E8,3087D9319A68,3087D9B17C4C,3087D97189CC,3087D972388C,3087D9717DC8,3087D9715E88,3087D9B19A68,3087D931D728,784476F094A8,3087D9317D08,3087D9715C0C,3087D9317768,3087D93153CC,3087D9B16B48,E8377AA53A64,3087D93197A8,001132535E07,3087D9717CEC,3087D9715A88,3087D97176AC,3087D93195E8,3087D971724C,3087D9317C4C,3087D97158AC,3087D9B159A8,3087D931724C,3087D9717F6C,3087D9B176A8,3087D93189C8,3087D97159C8,D66A6A4744A7,3087D972064C,3087D9B195E8,3087D971D728,3087D9B15128,3087D9B1D728,3087D97182AC,3087D9B155C8,3087D93159C8,3087D9319C0C,3087D9B197A8,3087D97153CC,3087D9B1614C,001132844802,3087D93155C8,3087D9715588,3087D9315588,3087D9717C4C,3087D971992C,3087D9317DC8,3087D9317FC8,3087D97155C8,3087D9316148,3087D9320648,C0A0BBCF658C,3087D97159A8,3087D931614C,3087D9719C0C,3087D931824C,3087D93159A8,3087D9719A68,3087D971614C,38D5471E6C00,3087D9B15A88,3087D9B17768,3497F66BEBA0,00246C2D1701,3087D9717D08,3087D9B17FC8,3087D9B16148,3087D9B17DC8,3087D9B15588,1C3A6002B2FC,3087D93176AC,3087D9B15E88,3087D9B1724C,3087D9717768,3087D9721E68,3087D9716B48,3087D93152CC,3087D9319908,3087D9719908,3087D9717D0C,3087D971548C,3087D9717E6C,3087D97152CC,3087D9B19908,3087D9323888,3087D9317F28
1660221619,-0.012200299999999999,-0.0007699,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,-72,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,0,-49,0,0,0,0,0,0,0,0,-65,0,0,0,-71,-64,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,-54,-54,0,0,0,0,-54,0,-76
1660221620,-0.0066729,0.0017695,0,0,-72,0,0,0,0,0,0,-72,-79,0,0,0,0,-78,0,0,0,0,0,-34,0,0,0,0,0,0,-78,0,-72,0,0,0,0,0,0,0,0,0,0,0,-73,0,-81,0,0,-48,0,0,0,0,0,0,-47,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,-80,0,0,-79,-33,0,0,0,0,0,-80,0,0,0,-79,0,-33,0,0,0,-83,0,0,0,0,0,-79,0,0
1660221622,-0.2795462,-0.020756900000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,-69,0,0,0,0,0,0,0,-55,-78,-72,0,-89,0,0,0,0,0,0,0,0,-80,0,0,0,0,-69,0,0,0,0,0,0,-68,0,0,-73,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,-54,0,0,0,-55,0,0,0,0,0,0,-54,0,-78,0,-80,0,-54,0,0
1660221623,0.026064799999999996,0.046982199999999995,0,0,-73,-56,0,0,0,0,0,0,0,0,0,-57,0,0,-51,0,0,0,0,-78,0,0,-80,0,0,0,0,0,0,-75,0,0,-65,0,-59,0,-56,0,0,-82,-82,0,0,0,-82,-75,0,0,0,0,-89,0,-77,0,0,-76,0,-80,0,0,0,0,-81,-64,-89,0,0,-60,0,-88,0,-73,-79,-67,0,0,0,0,0,0,0,0,0,0,-77,0,-78,-84,0,0,0,0,0,-84,0,0,0
1660221626,0.0383924,0.0690573,0,-54,0,0,0,-64,0,0,0,0,-71,0,0,0,0,-65,-72,-67,0,0,0,0,0,-53,-61,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,-78,0,-59,-67,0,-66,0,-76,0,0,0,0,0,-65,-66,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,-52,0,0,0,0,0,0,0,0,0,0
1660221627,0.0478151,0.0873829,0,0,-82,0,0,0,0,0,0,-71,-79,0,0,0,0,0,-78,0,0,0,0,-52,0,0,0,0,0,0,-81,0,-72,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,-57,0,0,0,0,0,0,-56,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,-79,0,0,-84,-53,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,-77,0,0,0,0,0,-78,0,0
1660221629,0.0707145,0.10576289999999999,0,-68,0,0,0,-47,0,0,0,0,0,0,-55,0,0,0,-56,-77,-82,0,0,0,0,-67,-62,0,0,0,0,0,-76,0,0,0,0,0,-74,0,0,0,-65,0,-75,-79,0,-72,-55,-71,0,0,0,0,0,0,-71,0,0,-80,0,0,0,0,0,0,-78,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,-62,0,0,0,0,0,-62,0,0,0
1660221630,0.0760699,0.1095088,0,-72,-67,0,0,-62,0,0,0,-75,-55,0,-51,0,-79,-64,-55,0,0,0,0,-72,0,-73,-65,0,0,0,-68,0,-67,0,0,0,0,0,0,0,0,0,-68,0,-76,0,0,0,0,-77,0,0,0,0,0,0,-78,0,0,0,0,-80,0,-79,0,0,-65,0,0,0,0,0,-55,0,0,-68,-72,0,0,0,0,0,-80,0,0,0,-62,0,-70,0,-74,0,-81,-81,0,0,0,0,-79,0,0
1660221631,0.0818704,0.1182962,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,-77,0,-59,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,-43,-75,0,-75,0,0,0,0,0,0,0,-66,-70,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,-76,0,0,0,0,0,0,-78,-84,0,-78,0,0,0,-63,-63,0,0,0,0,0,-63,0,0,0
1660221632,0.0852674,0.1378965,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,-60,-70,-58,0,0,0,0,0,0,0,0,-77,-75,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,-61,0,0,0,0,-48,0,-60,0,0,-69,0,0,0,0,0,0,0,0,-48,0,0,0,0,-59,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,-58,-72,0,0,0,0,-78,0,0,0,0,0,0
1660221633,0.0865529,0.14374620000000002,0,0,-82,0,0,-80,0,0,0,-79,-51,0,0,0,0,-80,-51,0,0,0,0,-70,0,0,0,0,0,0,-80,0,-84,0,0,0,-67,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,-79,0,0,0,-64,0,0,0,-68,0,0,0,-80,-77,-68,0,0,0,0,0,-78,0,0,0,0,-74,0,0,0,-56,-56,0,0,0,0,-56,0,0
1660221634,0.0940518,0.1546642,0,0,-78,0,0,-80,0,0,0,-79,-57,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,-80,0,-84,0,0,0,-78,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,-80,-77,0,0,0,0,0,0,0,0,-78,0,0,0,-79,0,0,0,-80,-77,-68,0,0,0,0,0,-79,0,0,0,0,-74,0,0,0,-47,-46,0,0,0,0,-47,0,0
1660221635,0.10661939999999999,0.1696176,0,0,-80,0,0,0,0,0,0,-66,-81,0,0,0,0,0,-80,0,0,0,0,-43,0,0,0,0,0,0,-82,-77,-69,0,0,0,-81,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,-80,-45,0,-80,0,0,-55,-80,-60,0,0,0,0,-46,0,0,0,-75,0,0,0,-79,0,-75,0,-79
1660221636,0.1191657,0.18246579999999998,0,-51,0,0,0,0,0,0,0,0,0,0,-51,0,-74,0,-54,-72,0,0,0,0,0,-51,-59,0,0,-79,0,0,-71,0,0,0,0,0,-82,0,0,0,-68,0,-70,-71,0,-71,-54,-67,0,0,0,0,0,-57,-65,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,-77,0,0,0,0,0,-76,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,-68,0,0,0
1660221637,0.12516680000000002,0.19605770000000003,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,-71,0,0,0,0,0,0,-72,0,0,-61,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,-60,-59,0,0,0,0,-59,0,0
1660221638,0.1378172,0.21371500000000002,0,-72,0,0,0,0,0,0,0,-36,0,0,0,0,0,0,0,0,0,0,0,-54,0,-75,-80,0,0,0,0,0,-36,0,0,0,0,0,0,0,0,0,0,0,-36,0,0,0,0,-51,0,0,0,0,0,0,-52,0,0,0,-38,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,-63,0,-72,0,0,0,0,0,0,0,0,0,0
1660221639,0.154825,0.23076329999999998,0,-69,0,0,0,0,0,0,0,-37,0,0,0,0,0,0,0,-78,0,0,0,-64,0,-69,-80,0,0,0,0,0,-37,0,0,0,0,0,0,0,0,0,0,0,-37,0,0,0,0,-59,0,0,0,0,0,0,-58,0,0,0,-38,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,-65,0,-69,0,0,0,0,0,0,0,0,0,0
