timestamp,x,z,30:87:D9:B1:7E:**,30:87:D9:F1:7E:**,30:87:D9:F1:76:**,30:87:D9:F2:38:**,30:87:D9:B1:82:**,30:87:D9:31:97:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:81:**,30:87:D9:31:7C:**,30:87:D9:B1:FC:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:81:**,30:87:D9:B1:89:**,30:87:D9:72:38:**,30:87:D9:71:61:**,30:87:D9:71:5C:**,30:87:D9:B2:06:**,30:87:D9:71:99:**,00:24:6C:26:87:**,30:87:D9:72:06:**,30:87:D9:31:81:**,30:87:D9:F1:F0:**,30:87:D9:F2:06:**,30:87:D9:31:F0:**,30:87:D9:B1:7D:**,30:87:D9:31:95:**,30:87:D9:71:7D:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:71:F0:**,30:87:D9:B1:81:**,30:87:D9:B1:76:**,00:24:6C:26:8B:**,30:87:D9:F1:7F:**,34:97:F6:6B:EB:**,30:87:D9:F1:7D:**,30:87:D9:B1:97:**,30:87:D9:71:95:**,30:87:D9:B1:F0:**,00:24:6C:2D:1A:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:B1:95:**,30:87:D9:71:7E:**,30:87:D9:71:58:**,30:87:D9:F1:95:**,30:87:D9:71:72:**,78:32:1B:CC:37:**,30:87:D9:71:7F:**,30:87:D9:31:89:**,E4:F0:42:E0:FB:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:97:**,30:87:D9:31:76:**,30:87:D9:71:9A:**,30:87:D9:F1:82:**,B0:6E:BF:3B:A8:**,30:87:D9:71:76:**,30:87:D9:31:7D:**,30:87:D9:31:82:**,30:87:D9:31:FC:**,30:87:D9:32:38:**,30:87:D9:F1:FC:**,30:87:D9:71:82:**
1662467261,-0.7370301,18.2496986,-80,-79,-54,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-72,-100,-72,-80,-100,-100,-100,-55,-71,-100,-100,-72,-78,-100,-100,-78,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-79,-78,-76,-54,-100,-100,-100,-55,-72,-100,-100,-100,-100,-100
1662467262,-0.7608535,18.4257145,-80,-79,-50,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-61,-100,-64,-78,-100,-100,-100,-50,-75,-100,-100,-66,-75,-100,-100,-78,-100,-80,-100,-79,-100,-100,-100,-100,-100,-78,-100,-78,-76,-76,-48,-100,-100,-100,-49,-64,-100,-100,-100,-100,-100
1662467263,-0.7748582,18.5362568,-100,-100,-69,-67,-77,-76,-60,-100,-100,-100,-77,-100,-66,-100,-74,-66,-100,-100,-61,-45,-79,-59,-79,-81,-61,-100,-100,-100,-100,-75,-100,-100,-100,-68,-75,-100,-78,-100,-76,-100,-100,-59,-79,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-77,-72,-76,-70,-100,-79,-75,-67,-100,-76,-100,-68,-100,-77
1662467264,-0.7732587,18.6819878,-100,-100,-55,-100,-100,-66,-78,-100,-81,-100,-100,-100,-100,-100,-79,-100,-100,-100,-73,-40,-100,-74,-100,-100,-76,-100,-65,-100,-66,-78,-100,-100,-100,-54,-75,-100,-100,-63,-66,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-75,-76,-55,-100,-100,-80,-54,-64,-100,-100,-100,-100,-100
1662467265,-0.7652335,18.8422031,-100,-100,-66,-80,-100,-70,-70,-100,-77,-100,-100,-76,-79,-77,-77,-74,-100,-100,-67,-45,-76,-72,-80,-74,-71,-75,-100,-78,-100,-75,-77,-78,-76,-65,-70,-77,-100,-100,-72,-100,-75,-70,-100,-100,-80,-100,-100,-100,-100,-100,-75,-78,-100,-74,-73,-73,-66,-100,-100,-79,-67,-100,-100,-78,-78,-78,-100
1662467266,-0.746438,19.029623,-100,-100,-67,-67,-77,-76,-62,-100,-100,-100,-77,-100,-68,-100,-78,-66,-100,-100,-60,-45,-79,-62,-79,-81,-60,-100,-100,-100,-100,-76,-100,-100,-100,-69,-74,-100,-78,-100,-76,-100,-100,-65,-79,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-77,-72,-76,-68,-100,-79,-75,-66,-100,-76,-100,-68,-100,-77
1662467267,-0.7318382,19.2424183,-100,-100,-64,-73,-100,-70,-65,-100,-78,-100,-100,-100,-73,-73,-77,-74,-100,-100,-66,-45,-76,-65,-80,-74,-65,-75,-100,-78,-100,-75,-100,-78,-77,-63,-69,-100,-100,-100,-70,-100,-75,-72,-100,-100,-80,-100,-100,-100,-100,-100,-100,-78,-100,-74,-70,-71,-63,-100,-100,-80,-63,-100,-100,-100,-74,-100,-100
1662467268,-0.7353716,19.4777393,-100,-100,-67,-73,-78,-76,-63,-100,-100,-100,-77,-100,-75,-100,-74,-71,-100,-100,-62,-45,-79,-64,-79,-81,-62,-100,-100,-100,-100,-75,-100,-100,-100,-67,-77,-100,-78,-100,-74,-100,-100,-62,-79,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-77,-72,-73,-66,-100,-79,-77,-68,-100,-76,-100,-71,-100,-77
1662467269,-0.673665,19.7073517,-100,-100,-53,-100,-100,-66,-78,-100,-81,-100,-100,-100,-100,-100,-79,-100,-100,-100,-73,-40,-100,-74,-100,-100,-76,-100,-70,-100,-69,-78,-100,-100,-100,-53,-75,-100,-100,-68,-66,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-75,-76,-53,-100,-100,-80,-53,-68,-100,-100,-100,-100,-100
1662467270,-0.598835,19.8857346,-100,-100,-59,-100,-100,-71,-79,-100,-76,-100,-75,-72,-100,-77,-100,-100,-100,-100,-100,-45,-100,-78,-77,-100,-100,-100,-100,-75,-100,-100,-79,-100,-76,-58,-73,-80,-100,-100,-71,-76,-79,-74,-77,-100,-77,-100,-100,-75,-100,-100,-78,-80,-100,-79,-72,-71,-59,-100,-100,-76,-59,-100,-100,-74,-100,-73,-100
1662467271,-0.3980522,20.0687752,-100,-100,-57,-73,-100,-66,-70,-100,-77,-100,-100,-100,-76,-77,-77,-74,-100,-100,-69,-45,-76,-69,-80,-74,-70,-75,-100,-78,-100,-75,-100,-78,-76,-57,-69,-100,-100,-100,-72,-100,-75,-70,-100,-100,-80,-100,-100,-100,-100,-100,-100,-78,-100,-74,-66,-71,-56,-100,-100,-80,-57,-100,-100,-78,-78,-78,-100
1662467272,-0.2037315,20.2048168,-80,-78,-54,-100,-100,-78,-75,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-75,-40,-100,-70,-100,-100,-76,-100,-69,-100,-69,-77,-100,-100,-100,-54,-72,-100,-100,-70,-78,-100,-100,-77,-100,-79,-100,-79,-100,-100,-100,-100,-100,-78,-100,-80,-78,-78,-55,-100,-100,-100,-55,-63,-100,-100,-100,-100,-100
1662467273,0.0841808,20.2764091,-100,-100,-59,-80,-100,-65,-71,-100,-100,-100,-100,-76,-100,-100,-79,-100,-100,-100,-73,-45,-78,-73,-100,-100,-71,-100,-100,-100,-100,-81,-71,-100,-100,-59,-69,-77,-100,-100,-66,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-65,-66,-59,-100,-100,-78,-58,-100,-100,-100,-81,-100,-100
1662467274,0.3168449,20.2931557,-100,-100,-65,-80,-100,-67,-66,-100,-77,-100,-100,-76,-79,-77,-77,-74,-100,-100,-72,-45,-76,-71,-80,-74,-72,-75,-100,-78,-100,-75,-78,-78,-76,-66,-70,-77,-100,-100,-72,-100,-75,-70,-100,-100,-80,-100,-100,-100,-100,-100,-78,-78,-100,-74,-65,-74,-66,-100,-100,-80,-64,-100,-100,-78,-78,-78,-100
1662467275,0.4585533,20.3317719,-100,-100,-46,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-60,-100,-60,-74,-100,-100,-100,-46,-79,-100,-100,-60,-79,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-65,-79,-100,-45,-100,-100,-100,-46,-60,-100,-100,-100,-100,-100
1662467276,0.6250343,20.3758965,-100,-100,-58,-100,-100,-72,-79,-100,-76,-100,-75,-72,-100,-77,-79,-100,-100,-100,-72,-45,-100,-78,-77,-100,-72,-100,-100,-75,-100,-100,-78,-100,-76,-59,-73,-80,-100,-100,-71,-76,-79,-70,-77,-100,-77,-100,-100,-77,-100,-100,-81,-80,-100,-79,-72,-70,-58,-100,-100,-76,-59,-100,-100,-77,-100,-73,-100
1662467277,0.8104324,20.3833485,-80,-78,-56,-100,-100,-74,-75,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-75,-40,-100,-70,-100,-100,-76,-100,-73,-100,-70,-77,-100,-100,-100,-54,-72,-100,-100,-73,-69,-100,-100,-77,-80,-76,-100,-80,-100,-100,-100,-100,-100,-78,-100,-80,-77,-76,-55,-100,-100,-100,-56,-71,-100,-100,-100,-100,-100
1662467278,1.0180244,20.395525,-100,-100,-75,-71,-77,-76,-69,-100,-100,-100,-77,-100,-69,-100,-74,-72,-100,-100,-67,-45,-79,-67,-79,-81,-62,-100,-100,-100,-100,-75,-100,-100,-100,-76,-75,-100,-78,-100,-76,-100,-100,-61,-79,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-77,-72,-76,-73,-100,-79,-75,-75,-100,-76,-100,-72,-100,-77
1662467279,1.1063766,20.3776951,-100,-83,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-62,-100,-62,-74,-100,-100,-100,-49,-100,-100,-100,-62,-100,-100,-100,-100,-100,-80,-100,-82,-100,-100,-100,-100,-100,-64,-100,-64,-100,-100,-49,-100,-100,-100,-49,-62,-100,-100,-100,-100,-100
1662467280,1.1186943,20.3741245,-100,-100,-48,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-57,-100,-56,-77,-100,-100,-100,-48,-78,-100,-100,-56,-79,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-76,-79,-100,-47,-100,-100,-100,-47,-57,-100,-100,-100,-100,-100
1662467281,1.1199074,20.3787079,-100,-100,-47,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-61,-100,-61,-78,-100,-100,-100,-46,-79,-100,-100,-61,-79,-100,-100,-78,-100,-81,-100,-100,-100,-100,-100,-100,-100,-79,-100,-78,-79,-100,-47,-100,-100,-100,-46,-61,-100,-100,-100,-100,-100
1662467282,1.1356125,20.3478985,-100,-100,-75,-77,-76,-67,-63,-100,-100,-100,-77,-100,-76,-100,-78,-77,-100,-100,-65,-45,-79,-66,-77,-81,-63,-100,-100,-100,-100,-80,-100,-100,-100,-77,-79,-100,-100,-100,-68,-100,-100,-64,-79,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-78,-63,-66,-76,-100,-77,-77,-74,-100,-75,-100,-77,-100,-77
1662467283,1.1300354,20.3325481,-100,-100,-64,-75,-100,-63,-65,-100,-79,-100,-100,-100,-76,-78,-76,-76,-100,-100,-64,-45,-100,-64,-80,-78,-65,-76,-100,-100,-100,-76,-100,-78,-79,-66,-72,-100,-100,-100,-63,-100,-78,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-73,-63,-63,-65,-100,-100,-81,-67,-100,-100,-100,-68,-100,-100
1662467284,1.130352,20.3289394,-100,-100,-75,-75,-78,-63,-60,-100,-100,-100,-77,-100,-75,-100,-74,-75,-100,-100,-59,-45,-100,-61,-79,-81,-60,-100,-100,-100,-100,-74,-100,-100,-100,-74,-79,-100,-78,-100,-61,-100,-100,-58,-79,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-71,-64,-64,-69,-100,-80,-77,-76,-100,-76,-100,-77,-100,-77
1662467285,1.1300011,20.3335285,-100,-100,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-61,-100,-61,-68,-100,-100,-100,-46,-79,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-68,-100,-100,-45,-100,-100,-100,-46,-62,-100,-100,-100,-100,-100
1662467286,1.1273212,20.3344765,-100,-100,-48,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-62,-100,-62,-74,-100,-100,-100,-48,-77,-100,-100,-62,-79,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-75,-79,-100,-48,-100,-100,-100,-47,-63,-100,-100,-100,-100,-100
1662467287,1.1310463,20.3354416,-100,-100,-60,-100,-100,-74,-73,-100,-100,-100,-74,-72,-100,-100,-79,-100,-100,-100,-72,-45,-100,-71,-81,-100,-72,-100,-100,-81,-100,-81,-73,-100,-74,-59,-68,-76,-100,-100,-73,-100,-79,-70,-69,-100,-100,-100,-100,-100,-100,-100,-76,-80,-100,-79,-73,-73,-59,-100,-100,-75,-60,-100,-100,-69,-100,-74,-100
1662467288,1.1266308,20.3321018,-80,-78,-54,-100,-100,-78,-75,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-75,-40,-100,-70,-100,-100,-76,-100,-61,-100,-68,-77,-100,-100,-100,-55,-72,-100,-100,-60,-78,-100,-100,-77,-100,-79,-100,-79,-100,-100,-100,-100,-100,-78,-100,-79,-78,-78,-54,-100,-100,-100,-54,-59,-100,-100,-100,-100,-100
1662467289,1.1344852,20.3344555,-80,-78,-52,-100,-100,-78,-75,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-75,-40,-100,-70,-100,-100,-76,-100,-60,-100,-60,-77,-100,-100,-100,-52,-72,-100,-100,-58,-78,-100,-100,-77,-100,-79,-100,-79,-100,-100,-100,-100,-100,-78,-100,-79,-78,-78,-54,-100,-100,-100,-54,-58,-100,-100,-100,-100,-100
1662467290,1.1277447,20.336174,-80,-79,-53,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-63,-100,-62,-80,-100,-100,-100,-54,-75,-100,-100,-62,-75,-100,-100,-78,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-79,-78,-76,-54,-100,-100,-100,-54,-62,-100,-100,-100,-100,-100
1662467291,1.1304512,20.3333969,-100,-100,-55,-100,-100,-66,-74,-100,-81,-100,-72,-78,-100,-77,-79,-100,-100,-100,-74,-40,-100,-75,-77,-100,-74,-81,-69,-77,-62,-77,-100,-77,-78,-54,-76,-100,-100,-64,-66,-77,-79,-76,-74,-100,-77,-100,-100,-76,-100,-100,-100,-73,-100,-78,-75,-76,-55,-100,-100,-80,-55,-71,-100,-73,-78,-72,-100
1662467292,1.1300774,20.3316212,-100,-100,-57,-100,-100,-73,-79,-100,-80,-100,-73,-72,-100,-100,-79,-100,-100,-100,-72,-45,-100,-78,-81,-100,-72,-100,-100,-76,-100,-100,-73,-100,-74,-58,-74,-78,-100,-100,-72,-76,-79,-70,-74,-100,-76,-100,-100,-79,-100,-100,-79,-80,-100,-79,-72,-73,-57,-100,-100,-75,-57,-100,-100,-77,-100,-74,-100
