timestamp,x,z,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,30:87:D9:B1:7E:**,30:87:D9:F1:F0:**,30:87:D9:31:77:**,30:87:D9:B1:81:**,30:87:D9:31:61:**,00:24:6C:26:8B:**,30:87:D9:31:95:**,30:87:D9:F1:7D:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:FC:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,30:87:D9:B1:7C:**,04:92:26:53:B7:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7D:**,00:24:6C:26:87:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:FC:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,30:87:D9:F1:82:**,30:87:D9:71:7D:**,00:24:6C:2D:1A:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,30:87:D9:31:72:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:31:9A:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:F1:7F:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:B1:95:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**,B0:6E:BF:3B:A8:**,30:87:D9:32:38:**
1662467740,-0.6340983,18.1185741,-56,-100,-100,-81,-100,-78,-80,-100,-80,-100,-100,-78,-62,-72,-80,-78,-100,-100,-100,-100,-100,-74,-100,-100,-74,-100,-100,-74,-78,-100,-77,-68,-78,-100,-100,-100,-100,-74,-100,-100,-100,-76,-77,-74,-79,-100,-69,-100,-100,-100,-100,-76,-77,-73,-100,-100,-55,-71,-100,-76,-100,-56,-79,-78,-100,-100,-45,-75,-79,-100,-78,-100,-100,-55,-100,-77,-100,-70,-75,-100,-100,-100,-100
1662467741,-0.6171169,18.0802155,-54,-100,-100,-80,-100,-78,-77,-100,-100,-100,-100,-78,-62,-72,-80,-78,-100,-100,-100,-100,-100,-74,-100,-100,-74,-100,-100,-74,-78,-100,-74,-61,-79,-100,-100,-100,-100,-69,-100,-100,-100,-76,-100,-76,-100,-100,-62,-100,-100,-100,-100,-100,-77,-73,-100,-100,-54,-71,-100,-78,-100,-54,-79,-78,-100,-100,-45,-100,-79,-100,-100,-100,-100,-54,-100,-77,-100,-62,-75,-100,-100,-74,-100
1662467742,-0.6527374,18.1216183,-64,-68,-100,-100,-100,-80,-100,-100,-77,-100,-63,-100,-76,-100,-100,-79,-77,-100,-71,-70,-100,-100,-100,-100,-65,-100,-100,-65,-100,-100,-62,-75,-100,-100,-100,-100,-67,-63,-100,-100,-68,-100,-78,-65,-77,-72,-78,-100,-100,-100,-100,-75,-76,-64,-100,-100,-63,-100,-100,-65,-100,-64,-100,-77,-70,-100,-45,-66,-78,-100,-79,-100,-100,-64,-100,-100,-100,-76,-100,-100,-100,-76,-68
1662467743,-0.6262304,18.0678368,-65,-68,-100,-100,-100,-80,-100,-100,-77,-100,-65,-100,-76,-100,-100,-79,-77,-100,-71,-70,-100,-100,-100,-100,-73,-100,-100,-62,-100,-100,-69,-77,-100,-100,-100,-100,-72,-63,-100,-100,-67,-100,-78,-70,-77,-72,-76,-100,-100,-100,-100,-78,-76,-69,-100,-100,-63,-100,-100,-69,-100,-65,-100,-77,-73,-100,-45,-73,-100,-100,-79,-100,-100,-64,-100,-100,-100,-76,-100,-100,-100,-68,-73
1662467744,-0.6350145,18.0699081,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-64,-72,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-75,-100,-100,-74,-75,-100,-74,-64,-75,-100,-100,-100,-100,-76,-80,-100,-100,-74,-100,-76,-100,-100,-64,-100,-100,-100,-100,-100,-100,-75,-100,-100,-56,-72,-100,-79,-100,-56,-76,-100,-100,-100,-45,-79,-100,-100,-100,-100,-100,-55,-100,-100,-100,-65,-77,-100,-100,-76,-100
1662467745,-0.6421931,18.1035881,-56,-100,-100,-80,-100,-78,-77,-100,-80,-100,-100,-78,-63,-72,-80,-78,-100,-100,-100,-100,-100,-74,-100,-100,-75,-100,-100,-74,-78,-100,-75,-66,-78,-100,-100,-100,-100,-73,-100,-100,-100,-76,-77,-76,-79,-100,-64,-100,-100,-100,-100,-100,-77,-74,-100,-100,-56,-71,-100,-74,-100,-57,-79,-78,-100,-100,-45,-75,-79,-100,-100,-100,-100,-57,-100,-77,-100,-64,-75,-100,-100,-74,-100
1662467746,-0.6261739,18.1387825,-55,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-76,-100,-100,-75,-63,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-77,-78,-80,-100,-64,-100,-100,-100,-100,-79,-77,-73,-100,-100,-56,-81,-100,-75,-100,-55,-100,-79,-100,-100,-45,-76,-100,-100,-78,-100,-100,-54,-100,-100,-100,-65,-100,-100,-100,-100,-100
1662467747,-0.6089858,18.2446308,-56,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-77,-80,-100,-72,-71,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-77,-78,-80,-100,-71,-100,-100,-100,-100,-79,-77,-78,-100,-100,-56,-100,-100,-75,-100,-56,-100,-79,-100,-100,-45,-75,-100,-100,-78,-100,-100,-55,-100,-100,-100,-65,-100,-100,-100,-100,-100
1662467748,-0.5829349,18.373951,-63,-100,-100,-80,-100,-78,-77,-100,-80,-100,-100,-78,-67,-72,-80,-78,-100,-100,-100,-100,-100,-74,-100,-100,-74,-100,-100,-74,-78,-100,-74,-67,-79,-100,-100,-100,-100,-69,-100,-100,-100,-76,-77,-76,-79,-100,-67,-100,-100,-100,-100,-100,-77,-73,-100,-100,-63,-71,-100,-78,-100,-63,-79,-78,-100,-100,-45,-100,-79,-100,-100,-100,-100,-63,-100,-77,-100,-66,-75,-100,-100,-74,-100
1662467749,-0.6149013,18.640379,-70,-68,-100,-100,-100,-80,-100,-100,-77,-100,-67,-100,-78,-100,-100,-79,-77,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-72,-100,-100,-62,-75,-100,-100,-100,-100,-69,-63,-100,-100,-68,-100,-75,-66,-77,-72,-78,-100,-100,-100,-100,-76,-76,-74,-100,-100,-68,-100,-100,-67,-100,-68,-100,-77,-67,-100,-45,-66,-77,-100,-76,-100,-100,-69,-100,-100,-100,-77,-100,-100,-100,-76,-66
