timestamp,x,z,30:87:D9:71:54:**,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,00:24:6C:26:89:**,00:24:6C:26:87:**,30:87:D9:F1:F0:**,30:87:D9:31:77:**,30:87:D9:B1:55:**,30:87:D9:B1:81:**,30:87:D9:B1:77:**,30:87:D9:31:95:**,30:87:D9:B1:5B:**,30:87:D9:71:FC:**,30:87:D9:B1:5C:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:FC:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,08:36:C9:8E:F4:**,30:87:D9:F1:59:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:B1:7D:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:F1:5B:**,30:87:D9:71:55:**,30:87:D9:F1:7D:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:F1:FC:**,30:87:D9:B1:89:**,A8:5E:45:1B:B8:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,30:87:D9:F1:82:**,30:87:D9:71:7D:**,00:24:6C:2D:1A:**,30:87:D9:31:5B:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:31:99:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,30:87:D9:31:72:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:31:9A:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:F1:7F:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:31:5C:**,30:87:D9:B1:95:**,30:87:D9:B1:9A:**,30:87:D9:B1:59:**,30:87:D9:71:5B:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**
1662476727,-0.6442877,16.1257668,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-83,-100,-100,-100,-49,-68,-69,-100,-71,-100,-100,-100,-100,-70,-100,-100,-100,-46,-100,-100,-67,-100,-49,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476728,-0.6404811,16.1272793,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-83,-100,-100,-100,-51,-73,-74,-100,-72,-100,-100,-100,-100,-72,-100,-100,-100,-48,-100,-100,-73,-100,-51,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476729,-0.645053,16.1296101,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-73,-100,-100,-100,-100,-100,-76,-100,-100,-80,-100,-100,-100,-43,-100,-100,-100,-81,-100,-100,-78,-72,-75,-100,-100,-75,-81,-100,-100,-71,-81,-100,-100,-43,-100,-100,-74,-54,-74,-100,-78,-100,-56,-100,-81,-74,-45,-79,-72,-100,-72,-44,-54,-100,-100,-100,-100,-100,-100,-75,-100,-100,-63,-72
1662476730,-0.6428096,16.1458149,-80,-57,-100,-89,-77,-60,-100,-77,-77,-83,-89,-77,-84,-75,-100,-69,-84,-100,-100,-100,-89,-66,-80,-84,-79,-88,-79,-76,-28,-73,-75,-84,-100,-88,-73,-79,-78,-69,-100,-76,-78,-81,-100,-73,-76,-100,-100,-60,-37,-76,-100,-75,-59,-68,-59,-81,-48,-62,-77,-78,-79,-50,-77,-79,-79,-75,-37,-62,-100,-78,-43,-74,-84,-75,-76,-100,-100,-76,-74
1662476731,-0.5892503,16.2250309,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-74,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-80,-40,-100,-100,-100,-100,-100,-100,-100,-100,-77,-72,-100,-100,-100,-100,-100,-73,-100,-100,-100,-40,-73,-74,-75,-72,-76,-100,-100,-100,-72,-82,-100,-77,-43,-100,-100,-74,-100,-39,-73,-100,-100,-100,-100,-100,-81,-75,-100,-100,-100,-79
1662476732,-0.3787498,16.3932648,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-78,-100,-100,-77,-100,-100,-100,-27,-100,-100,-100,-100,-100,-100,-100,-80,-79,-77,-100,-74,-100,-100,-100,-73,-100,-100,-100,-27,-78,-78,-75,-50,-79,-100,-78,-100,-50,-100,-100,-77,-35,-77,-82,-77,-82,-27,-50,-100,-100,-100,-100,-100,-100,-76,-100,-100,-80,-75
1662476733,-0.4464819,16.5461502,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-83,-100,-100,-100,-47,-81,-80,-100,-70,-100,-100,-100,-100,-70,-100,-100,-100,-45,-100,-100,-81,-100,-48,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476734,-0.4645486,16.7277355,-100,-64,-100,-100,-100,-100,-100,-78,-100,-100,-100,-77,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-42,-100,-100,-100,-100,-100,-100,-79,-100,-100,-74,-100,-66,-79,-100,-100,-66,-100,-82,-100,-43,-74,-74,-62,-65,-100,-100,-66,-100,-64,-100,-77,-66,-42,-65,-100,-75,-100,-42,-64,-100,-100,-100,-100,-100,-100,-61,-100,-100,-53,-60
1662476735,-0.5002304,16.8614388,-100,-73,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-83,-100,-100,-100,-51,-74,-74,-100,-65,-100,-100,-100,-100,-63,-100,-100,-100,-48,-100,-100,-74,-100,-52,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476736,-0.4122629,17.0729008,-100,-52,-100,-100,-100,-100,-80,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-79,-100,-100,-76,-100,-69,-79,-100,-100,-67,-100,-100,-100,-46,-76,-76,-60,-53,-100,-100,-69,-100,-52,-100,-78,-60,-47,-69,-100,-77,-100,-47,-52,-100,-100,-100,-100,-100,-100,-60,-100,-100,-53,-53
1662476737,-0.5340798,17.2322407,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-69,-100,-100,-100,-100,-100,-67,-100,-100,-79,-100,-100,-79,-29,-100,-100,-100,-100,-100,-100,-100,-77,-67,-80,-100,-80,-100,-100,-100,-72,-100,-100,-100,-30,-77,-78,-78,-55,-69,-100,-76,-100,-54,-76,-100,-77,-37,-79,-77,-79,-81,-28,-54,-100,-100,-100,-100,-100,-79,-77,-81,-100,-76,-78
1662476738,-0.4815939,17.4397793,-100,-64,-100,-100,-100,-100,-80,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-46,-100,-100,-100,-100,-100,-100,-79,-100,-100,-74,-100,-67,-79,-100,-100,-65,-100,-100,-100,-46,-74,-74,-59,-53,-100,-100,-68,-100,-54,-100,-77,-60,-46,-68,-100,-73,-100,-46,-54,-100,-100,-100,-100,-100,-100,-59,-100,-100,-53,-59
1662476739,-0.5217196,17.645216,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-83,-100,-100,-100,-48,-68,-69,-100,-64,-100,-100,-100,-100,-64,-100,-100,-100,-46,-100,-100,-68,-100,-48,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476740,-0.531791,17.8776703,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-83,-69,-100,-100,-100,-100,-100,-69,-100,-100,-79,-100,-100,-79,-34,-100,-100,-100,-100,-100,-100,-100,-77,-69,-78,-100,-80,-100,-100,-100,-72,-80,-100,-100,-33,-76,-79,-78,-53,-69,-100,-78,-100,-53,-76,-100,-78,-39,-79,-78,-78,-81,-34,-52,-100,-100,-100,-100,-100,-78,-77,-81,-81,-78,-77
1662476741,-0.5470485,17.9911938,-100,-70,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-82,-100,-100,-100,-52,-74,-74,-100,-69,-100,-100,-100,-100,-71,-100,-100,-100,-48,-100,-100,-75,-100,-52,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476742,-0.5537185,17.9863319,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-78,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-80,-34,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100,-100,-76,-100,-100,-100,-35,-76,-78,-81,-57,-76,-100,-100,-100,-56,-82,-100,-81,-40,-100,-100,-78,-100,-34,-58,-100,-100,-100,-100,-100,-81,-76,-100,-100,-100,-74
1662476743,-0.5870613,17.9777927,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-83,-100,-100,-100,-47,-80,-78,-100,-70,-100,-100,-100,-100,-69,-100,-100,-100,-46,-100,-100,-81,-100,-48,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476744,-0.5762318,17.9794197,-100,-64,-100,-100,-100,-100,-80,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-81,-100,-78,-100,-100,-100,-100,-65,-100,-100,-100,-44,-100,-100,-100,-100,-100,-100,-79,-100,-100,-74,-100,-65,-78,-100,-100,-68,-100,-100,-100,-44,-74,-76,-72,-64,-100,-100,-65,-100,-64,-100,-78,-71,-44,-65,-100,-75,-100,-44,-64,-100,-100,-100,-100,-100,-100,-70,-100,-100,-53,-72
